"Fiscode","Name","Nation","BirthYear","FirstSeason","FirstTopSeason","YearsElapsed","SeasonsToTopRank","SeasonsTracked","BestRankCareer","BestRankSeason","BestFisPointsCareer","AgeFirstRanking","AgeFirstTopRank","Rank2026","Rank2025","Rank2024","Rank2023","Rank2022","Rank2021","Rank2020","Rank2019","Rank2018","Rank2017","Rank2016","Rank2015","Rank2014","Rank2013","Rank2012"
495318,"RUIZ CASTILLO Carolina","ESP",1981,2003,2013,10,11,16,15,2013,3.59,22,32,"","","","","","","","",92,49,39,20,24,15,50
565360,"STUHEC Ilka","SLO",1990,2006,2017,11,12,21,1,2017,0,16,27,18,18,1,1,28,21,1,2,31,1,25,22,28,26,27
195983,"ROLLAND Marion","FRA",1982,1998,2009,11,12,21,4,2013,1.49,16,27,"","","","","","","","",36,31,31,31,31,4,6
538573,"ROSS Laurenne","USA",1988,2004,2015,11,12,22,6,2017,3.95,16,27,"",182,109,71,42,38,42,29,27,6,10,11,30,16,22
515782,"ABDERHALDEN Marianne","SUI",1986,2003,2014,11,12,18,6,2014,1.73,17,28,"","","","","","",306,193,127,84,46,30,6,22,41
296427,"SCHNARF Johanna","ITA",1984,2001,2012,11,12,20,8,2017,4.21,17,28,"","","","","","",30,36,18,8,17,26,51,49,14
505886,"KLING Kajsa","SWE",1988,2005,2016,11,12,19,11,2016,4.08,17,28,"","","",121,74,62,47,39,35,12,11,18,16,110,40
537582,"COOK Stacey","USA",1984,2000,2012,12,13,20,5,2013,1.72,16,28,"","","","","","","",43,23,15,15,17,19,5,10
56088,"TIPPLER Tamara","AUT",1991,2007,2019,12,13,19,15,2019,4.56,16,28,"",33,28,28,25,25,22,15,38,20,27,40,48,45,60
299624,"PIROVANO Laura","ITA",1997,2014,2026,12,13,13,1,2026,0,17,29,1,19,24,30,32,28,61,55,47,43,85,173,318,"",""
297910,"CURTONI Elena","ITA",1991,2007,2020,13,14,20,5,2021,2.23,16,29,26,14,13,13,7,5,9,68,63,30,16,114,72,70,91
516219,"MING-NUFER Priska","SUI",1992,2009,2022,13,14,18,11,2022,3.09,17,30,33,25,23,11,11,37,30,32,41,73,100,70,52,48,57
297601,"BRIGNONE Federica","ITA",1990,2006,2020,14,15,21,1,2025,0,16,30,1,1,15,20,8,6,10,24,25,28,117,136,146,145,149
516185,"HAEHLEN Joana","SUI",1992,2008,2022,14,15,19,15,2022,3.92,16,30,67,26,26,15,15,26,28,18,68,44,28,39,43,51,61
516248,"FLURY Jasmine","SUI",1993,2009,2024,15,16,18,8,2024,1.66,16,31,10,8,8,21,30,31,33,20,17,19,43,45,60,61,68
